,title,department,location,date_added,link
83,"Data Engineer/ Application Developer, Supply Chain Systems",Software and Services,Austin,"Oct 18, 2021",https://jobs.apple.com/en-us/details/200241072/data-engineer-application-developer-supply-chain-systems?team=SFTWR
84,"AI/ML - Engineering Manager, ML Developer Tools",Software and Services,Santa Clara Valley (Cupertino),"Oct 13, 2021",https://jobs.apple.com/en-us/details/200267591/ai-ml-engineering-manager-ml-developer-tools?team=SFTWR
85,Embedded Runtimes - Software Test Development Engineer,Software and Services,Beaverton,"Oct 10, 2021",https://jobs.apple.com/en-us/details/200296707/embedded-runtimes-software-test-development-engineer?team=SFTWR
86,"Software Development Engineer, Wireless Technologies and Ecosystems",Software and Services,San Diego,"May 27, 2021",https://jobs.apple.com/en-us/details/200233117/software-development-engineer-wireless-technologies-and-ecosystems?team=SFTWR
87,Car Experience Embedded Development and Tools Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 30, 2021",https://jobs.apple.com/en-us/details/200292936/car-experience-embedded-development-and-tools-engineer?team=SFTWR
88,Developer Tools Engineering Project Manager - Program,Software and Services,Santa Clara Valley (Cupertino),"Sep 4, 2021",https://jobs.apple.com/en-us/details/200282484/developer-tools-engineering-project-manager-program?team=SFTWR
89,Senior iOS Application Developer - Health Software,Software and Services,Santa Clara Valley (Cupertino),"Oct 4, 2021",https://jobs.apple.com/en-us/details/200243839/senior-ios-application-developer-health-software?team=SFTWR
90,Embedded Debugger - Software Test Development Engineer,Software and Services,Beaverton,"Oct 11, 2021",https://jobs.apple.com/en-us/details/200297214/embedded-debugger-software-test-development-engineer?team=SFTWR
91,Software Development Engineer in Test - Ad Platforms,Software and Services,Austin,"Sep 16, 2021",https://jobs.apple.com/en-us/details/200212573/software-development-engineer-in-test-ad-platforms?team=SFTWR
92,"Software Development Engineer in Test (SDET), Apple Pay",Software and Services,Austin,"Aug 19, 2021",https://jobs.apple.com/en-us/details/200279682/software-development-engineer-in-test-sdet-apple-pay?team=SFTWR
93,Software Developer in Test - Cloud File Providers,Software and Services,Austin,"Oct 1, 2021",https://jobs.apple.com/en-us/details/200270580/software-developer-in-test-cloud-file-providers?team=SFTWR
94,Network Software  Engineer -  Distributed Systems App Developer,Software and Services,Santa Clara Valley (Cupertino),"Oct 18, 2021",https://jobs.apple.com/en-us/details/200242094/network-software-engineer-distributed-systems-app-developer?team=SFTWR
95,iOS App Developer - Maps New UI Features,Software and Services,Santa Clara Valley (Cupertino),"Aug 24, 2021",https://jobs.apple.com/en-us/details/200248958/ios-app-developer-maps-new-ui-features?team=SFTWR
96,"Software Developer in Test, Data - Ad Platforms",Software and Services,Austin,"Sep 24, 2021",https://jobs.apple.com/en-us/details/200275217/software-developer-in-test-data-ad-platforms?team=SFTWR
97,Senior 3D Graphics & Front End Web Developer,Software and Services,Santa Clara Valley (Cupertino),"Jun 7, 2021",https://jobs.apple.com/en-us/details/200254638/senior-3d-graphics-front-end-web-developer?team=SFTWR
98,Software Development Engineer in Test - Energy Technologies,Software and Services,Santa Clara Valley (Cupertino),"Sep 10, 2021",https://jobs.apple.com/en-us/details/200190117/software-development-engineer-in-test-energy-technologies?team=SFTWR
99,Frontend Web Developer React/Typescript (Remote - West Coast),Software and Services,Santa Clara Valley (Cupertino),"Aug 25, 2021",https://jobs.apple.com/en-us/details/200280634/frontend-web-developer-react-typescript-remote-west-coast?team=SFTWR
100,"Business Development Manager - Wallet, Payments, and Commerce",Software and Services,Santa Clara Valley (Cupertino),"Oct 1, 2021",https://jobs.apple.com/en-us/details/200292450/business-development-manager-wallet-payments-and-commerce?team=SFTWR
101,Frontend Web Developer React/Typescript (Remote - West Coast),Software and Services,Santa Clara Valley (Cupertino),"Oct 18, 2021",https://jobs.apple.com/en-us/details/200301499/frontend-web-developer-react-typescript-remote-west-coast?team=SFTWR
102,Silicon Validation Software Engineer: Linux Driver and Kernel Developer,Software and Services,San Diego,"Jan 14, 2020",https://jobs.apple.com/en-us/details/200012334/silicon-validation-software-engineer-linux-driver-and-kernel-developer?team=SFTWR
103,Software Development Engineer in Test - Apple Customer Systems,Software and Services,Austin,"Aug 26, 2021",https://jobs.apple.com/en-us/details/200251746/software-development-engineer-in-test-apple-customer-systems?team=SFTWR
104,Software Developer in Test - Core I/O and Sensors,Software and Services,Santa Clara Valley (Cupertino),"May 21, 2021",https://jobs.apple.com/en-us/details/200244765/software-developer-in-test-core-i-o-and-sensors?team=SFTWR
105,Silicon Validation Software Engineer: Linux Driver and Kernel Developer,Software and Services,Beaverton,"Aug 12, 2021",https://jobs.apple.com/en-us/details/200141508/silicon-validation-software-engineer-linux-driver-and-kernel-developer?team=SFTWR
106,"Software Development Engineer in Test, Wireless Technologies and Ecosystems",Software and Services,Santa Clara,"Aug 11, 2021",https://jobs.apple.com/en-us/details/200195534/software-development-engineer-in-test-wireless-technologies-and-ecosystems?team=SFTWR
107,JavaScript Frameworks Developer - Apple Maps on the Web,Software and Services,Santa Clara Valley (Cupertino),"Sep 30, 2021",https://jobs.apple.com/en-us/details/200267473/javascript-frameworks-developer-apple-maps-on-the-web?team=SFTWR
108,Silicon Validation Software Engineer: Linux Driver and Kernel Developer,Software and Services,Boston,"Sep 23, 2021",https://jobs.apple.com/en-us/details/200267919/silicon-validation-software-engineer-linux-driver-and-kernel-developer?team=SFTWR
109,"Apple Search Ads Partner Development, Head of SMB Sales",Software and Services,Austin,"Sep 15, 2021",https://jobs.apple.com/en-us/details/200284677/apple-search-ads-partner-development-head-of-smb-sales?team=SFTWR
110,"AI/ML-Software Development Engineer in Test, Siri Search, Knowledge & Platform",Software and Services,Seattle,"Sep 17, 2021",https://jobs.apple.com/en-us/details/200289992/ai-ml-software-development-engineer-in-test-siri-search-knowledge-platform?team=SFTWR
111,AMP University Facilitator and Content Developer - Apple Media Products,Software and Services,New York City,"Oct 16, 2021",https://jobs.apple.com/en-us/details/200299656/amp-university-facilitator-and-content-developer-apple-media-products?team=SFTWR
112,Software Engineering Program Manager - CV/ ML Algorithms - Technology Development Group,Software and Services,Santa Clara Valley (Cupertino),"Oct 19, 2021",https://jobs.apple.com/en-us/details/200253034/software-engineering-program-manager-cv-ml-algorithms-technology-development-group?team=SFTWR
113,Software Development Engineer in Test - Platform Power Quality (SOC Power Management),Software and Services,Beaverton,"Aug 6, 2021",https://jobs.apple.com/en-us/details/200273689/software-development-engineer-in-test-platform-power-quality-soc-power-management?team=SFTWR
114,Software Development Engineer in Test - Platform Power Quality (SOC Power Management),Software and Services,San Diego,"Aug 6, 2021",https://jobs.apple.com/en-us/details/200273698/software-development-engineer-in-test-platform-power-quality-soc-power-management?team=SFTWR
115,"Apple Cloud for Developers – CloudKit Client, Security and Privacy - Software Engineer",Software and Services,Santa Clara Valley (Cupertino),"Jan 27, 2021",https://jobs.apple.com/en-us/details/200210216/apple-cloud-for-developers-cloudkit-client-security-and-privacy-software-engineer?team=SFTWR
116,CloudKit Client - Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Apr 28, 2021",https://jobs.apple.com/en-us/details/200243431/cloudkit-client-software-engineer?team=SFTWR
117,"Firmware Security Engineer, Security Engineering and Architecture",Software and Services,Santa Clara Valley (Cupertino),"May 17, 2021",https://jobs.apple.com/en-us/details/200235536/firmware-security-engineer-security-engineering-and-architecture?team=SFTWR
