,title,department,location,date_added,link
55,iOS Wallet Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 5, 2021",https://jobs.apple.com/en-us/details/200262183/ios-wallet-engineer?team=SFTWR
56,iOS Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 12, 2021",https://jobs.apple.com/en-us/details/200276686/ios-software-engineer?team=SFTWR
57,WebKit Infrastructure Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 15, 2021",https://jobs.apple.com/en-us/details/200300153/webkit-infrastructure-engineer?team=SFTWR
58,Software Engineer (Productivity),Software and Services,Austin,"Oct 14, 2021",https://jobs.apple.com/en-us/details/200279112/software-engineer-productivity?team=SFTWR
59,iOS Wallet Engineer,Software and Services,New York City,"May 14, 2021",https://jobs.apple.com/en-us/details/200248361/ios-wallet-engineer?team=SFTWR
60,WebKit Infrastructure Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 15, 2021",https://jobs.apple.com/en-us/details/200300153/webkit-infrastructure-engineer?team=SFTWR
61,Software Engineer (Productivity),Software and Services,Austin,"Oct 14, 2021",https://jobs.apple.com/en-us/details/200279112/software-engineer-productivity?team=SFTWR
62,Web Application Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 3, 2021",https://jobs.apple.com/en-us/details/200272784/web-application-engineer?team=SFTWR
63,Database Engineer (Mysql/Oracle),Software and Services,Austin,"Oct 22, 2021",https://jobs.apple.com/en-us/details/200302894/database-engineer-mysql-oracle?team=SFTWR
64,Software Frameworks Engineer,Software and Services,Seattle,"Sep 28, 2021",https://jobs.apple.com/en-us/details/200283297/software-frameworks-engineer?team=SFTWR
65,CloudKit Solutions Engineer,Software and Services,Seattle,"Sep 28, 2021",https://jobs.apple.com/en-us/details/200285368/cloudkit-solutions-engineer?team=SFTWR
66,Automation Framework Engineer,Software and Services,San Diego,"Aug 9, 2021",https://jobs.apple.com/en-us/details/200273807/automation-framework-engineer?team=SFTWR
67,Engineering Program Manager,Software and Services,Santa Clara Valley (Cupertino),"Oct 1, 2021",https://jobs.apple.com/en-us/details/200292046/engineering-program-manager?team=SFTWR
68,Automation Framework Engineer,Software and Services,San Diego,"Oct 19, 2021",https://jobs.apple.com/en-us/details/200295089/automation-framework-engineer?team=SFTWR
69,Home Networking Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 12, 2021",https://jobs.apple.com/en-us/details/200297885/home-networking-engineer?team=SFTWR
70,Apple Engineering Opportunities,Software and Services,Santa Clara Valley (Cupertino),"Mar 3, 2020",https://jobs.apple.com/en-us/details/200156495/apple-engineering-opportunities?team=SFTWR
71,Senior QA Engineer,Software and Services,New York City,"Oct 19, 2021",https://jobs.apple.com/en-us/details/200248973/senior-qa-engineer?team=SFTWR
72,"Security Engineering & Architecture, Product Security Engineer",Software and Services,Santa Clara Valley (Cupertino),"Apr 21, 2021",https://jobs.apple.com/en-us/details/200241116/security-engineering-architecture-product-security-engineer?team=SFTWR
73,"AI/ML - Software Engineer, Siri Adoption Engineering",Software and Services,Seattle,"Oct 13, 2021",https://jobs.apple.com/en-us/details/200250935/ai-ml-software-engineer-siri-adoption-engineering?team=SFTWR
74,"Senior Engineering Project Manager, GCRM Services Engineering",Software and Services,Austin,"Oct 13, 2021",https://jobs.apple.com/en-us/details/200297390/senior-engineering-project-manager-gcrm-services-engineering?team=SFTWR
75,"AI/ML - Frontend Engineer, ML Engineering Efficiency",Software and Services,Seattle,"Oct 19, 2021",https://jobs.apple.com/en-us/details/200267013/ai-ml-frontend-engineer-ml-engineering-efficiency?team=SFTWR
76,Senior Engineering Project Manager- Retail Engineering Austin,Software and Services,Austin,"Aug 30, 2021",https://jobs.apple.com/en-us/details/200281278/senior-engineering-project-manager-retail-engineering-austin?team=SFTWR
77,"Systems Engineer / Applications Engineer, Platform Architecture",Software and Services,Santa Clara Valley (Cupertino),"Oct 1, 2021",https://jobs.apple.com/en-us/details/200294911/systems-engineer-applications-engineer-platform-architecture?team=SFTWR
78,WiFi Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 1, 2021",https://jobs.apple.com/en-us/details/200279119/wifi-performance-engineer?team=SFTWR
79,SwiftUI Previews Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 21, 2021",https://jobs.apple.com/en-us/details/200285078/swiftui-previews-engineer?team=SFTWR
80,Cellular Interoperability Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 21, 2021",https://jobs.apple.com/en-us/details/200292392/cellular-interoperability-engineer?team=SFTWR
81,Cellular Interoperability Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 21, 2021",https://jobs.apple.com/en-us/details/200292405/cellular-interoperability-engineer?team=SFTWR
82,Xcode Quality Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jul 7, 2021",https://jobs.apple.com/en-us/details/200264766/xcode-quality-engineer?team=SFTWR
83,GPU Driver Engineer,Software and Services,Austin,"Aug 26, 2021",https://jobs.apple.com/en-us/details/200201994/gpu-driver-engineer?team=SFTWR
84,Software Build Engineer,Software and Services,San Diego,"Sep 28, 2021",https://jobs.apple.com/en-us/details/200126319/software-build-engineer?team=SFTWR
85,Screen Time Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jan 21, 2021",https://jobs.apple.com/en-us/details/200199333/screen-time-engineer?team=SFTWR
86,Software Design Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 22, 2021",https://jobs.apple.com/en-us/details/200202050/software-design-engineer?team=SFTWR
87,Display Firmware/Driver Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 28, 2021",https://jobs.apple.com/en-us/details/200223091/display-firmware-driver-engineer?team=SFTWR
88,Visualization Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jan 28, 2021",https://jobs.apple.com/en-us/details/200219415/visualization-software-engineer?team=SFTWR
89,WiFi QA Engineer,Software and Services,San Diego,"Oct 4, 2021",https://jobs.apple.com/en-us/details/200286795/wifi-qa-engineer?team=SFTWR
90,iOS Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 14, 2021",https://jobs.apple.com/en-us/details/200274688/ios-performance-engineer?team=SFTWR
91,OS Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 4, 2021",https://jobs.apple.com/en-us/details/200270906/os-performance-engineer?team=SFTWR
92,WiFi QA Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 15, 2021",https://jobs.apple.com/en-us/details/200286798/wifi-qa-engineer?team=SFTWR
93,WiFi Quality Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 4, 2021",https://jobs.apple.com/en-us/details/200286792/wifi-quality-engineer?team=SFTWR
